Date,Fajr,Fajr,Zuhr,Asr,Maghrib,Isha
,Begins,Sunrise,Begins,Begins,Begins,Begins
01/08/2021,03:35,05:23,13:11,18:23,20:51,22:11
02/08/2021,03:37,05:24,13:11,18:22,20:50,22:10
03/08/2021,03:39,05:26,13:11,18:21,20:48,22:08
04/08/2021,03:40,05:27,13:11,18:20,20:46,22:06
05/08/2021,03:42,05:29,13:11,18:19,20:45,22:05
06/08/2021,03:44,05:30,13:10,18:18,20:43,22:03
07/08/2021,03:46,05:32,13:10,18:16,20:41,22:01
08/08/2021,03:48,05:33,13:10,18:15,20:39,21:59
09/08/2021,03:50,05:35,13:10,18:14,20:37,21:57
10/08/2021,03:52,05:37,13:10,18:13,20:35,21:55
11/08/2021,03:53,05:38,13:10,18:11,20:33,21:53
12/08/2021,03:55,05:40,13:10,18:10,20:32,21:52
13/08/2021,03:57,05:41,13:09,18:09,20:30,21:50
14/08/2021,03:59,05:43,13:09,18:07,20:28,21:48
15/08/2021,04:01,05:45,13:09,18:06,20:26,21:46
16/08/2021,04:03,05:46,13:09,18:05,20:24,21:44
17/08/2021,04:05,05:48,13:09,18:03,20:22,21:42
18/08/2021,04:07,05:49,13:08,18:02,20:19,21:39
19/08/2021,04:08,05:51,13:08,18:00,20:17,21:37
20/08/2021,04:10,05:53,13:08,17:59,20:15,21:35
21/08/2021,04:12,05:54,13:08,17:57,20:13,21:33
22/08/2021,04:14,05:56,13:07,17:56,20:11,21:31
23/08/2021,04:16,05:57,13:07,17:54,20:09,21:29
24/08/2021,04:18,05:59,13:07,17:53,20:07,21:27
25/08/2021,04:20,06:01,13:07,17:51,20:05,21:25
26/08/2021,04:22,06:02,13:06,17:49,20:02,21:22
27/08/2021,04:24,06:04,13:06,17:48,20:00,21:20
28/08/2021,04:25,06:06,13:06,17:46,19:58,21:18
29/08/2021,04:27,06:07,13:05,17:44,19:56,21:16
30/08/2021,04:29,06:09,13:05,17:43,19:54,21:14
31/08/2021,04:31,06:10,13:05,17:41,19:51,21:11